"Package","FCOH","CU","CPC","PF","IPSC","DCO","CR","pkgreuse","CyclicDQ","CyclicCQ","CH","COHM","COUM","post"
"org.eclipse.jdt.internal.core.eval",0,1,1,1,1,0.333333333,0.666666667,0.2929,0.9773,0.9773,0.441,0.031,0.8462,0
"org.eclipse.jdt.internal.core.hierarchy",0.017857143,0.007575758,0.333333333,0.444444444,0.944444444,0.444444444,0.222222222,0.2929,1,0.9469,0.2929,0.0574,0.4884,1
"org.eclipse.jdt.internal.core.index",0.138888889,0.027222222,0.666666667,0.555555556,0.777777778,1.25,1,0.2929,1,0.68,0.5,0.0577,0.4211,1
"org.eclipse.jdt.internal.core.jdom",0.071428571,0.125,0.5,0.5,1,0.266666667,0.066666667,0.2929,1,0.9646,0.2929,0.2318,0.2456,0
"org.eclipse.jdt.internal.core.search",0.07421875,0.01365255,0.341666667,0.229166667,0.736111111,1.294117647,0.411764706,0.2929,0.962,0.9402,0.2929,0.0521,0.451,3
"org.eclipse.jdt.internal.core.search.indexing",0.016447368,0.036194426,0.8,0.388888889,0.831481481,0.823529412,0.411764706,0.2929,0.968,0.84,0.2929,0.1122,0.3529,6
"org.eclipse.jdt.internal.core.search.matching",0.053191489,0.042793658,0.844155844,0.409090909,0.583552632,0.75,0.4375,0.2929,0.9932,0.9385,0.2929,0.124,0.1148,42
"org.eclipse.jdt.internal.core.search.processing",0.105263158,0.04173913,1,0.666666667,0.888888889,4,0.5,0.3991,1,0.5,0.6667,0.0526,0.75,0
"org.eclipse.jdt.internal.core.util",0.009361127,0.013478718,0.484330484,0.12345679,0.694176745,1.044776119,0.328358209,0.2929,0.972,0.9612,0.2929,0.02,0.242,11
"org.eclipse.jdt.internal.eval",0.024,0.054545455,0.6,0.4,0.916666667,0.230769231,0.153846154,0.2929,1,0.9746,0.4748,0.175,0.2105,11
"org.eclipse.jdt.internal.formatter",0.041666667,0.076190476,0.4,0.3,0.949074074,0.5625,0.5,0.2929,0.9859,0.9577,0.4528,0.0755,0.3509,18
"org.eclipse.jdt.internal.formatter.align",0.5,0.05,1,0.75,0.875,1.5,0.5,0.441,0.5,0.5,0.441,0.1111,0.75,0
"org.eclipse.jdt.internal.formatter.comment",0.055555556,0.05,1,1,1,0.4375,0.3125,0.2929,0.9474,0.6316,0.2929,0.4819,0.1489,0
"org.eclipse.jdt.internal.formatter.old",1,1,1,1,1,1,0,0.5,1,1,0.2929,0,1,0
